Fixture,Arm,Burst,FirstSourceDerivative_s,LastSourceDerivative_s,PreexistingCorruption,NewCorruptionEpisodes,FirstNewCorruptPacket_s,FirstNewDetectionDelay_s,Status,Variant
V2EVAL08,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL08,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL09,BASELINE,1,0.249999925,0.254953006,0,2,0.251,NaN,unprotected_diagnostic,V02
V2EVAL09,BASELINE,2,1.699999925,1.704953006,0,2,1.701,NaN,unprotected_diagnostic,V02
V2EVAL09,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL09,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL09,SW_ONLY,1,0.249999925,0.254953006,0,2,0.251,NaN,missed,V02
V2EVAL09,SW_ONLY,2,1.699999925,1.704953006,0,2,1.701,NaN,missed,V02
V2EVAL09,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL09,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL10,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL11,BASELINE,1,0.249999925,0.254953006,0,2,0.251,NaN,unprotected_diagnostic,V02
V2EVAL11,BASELINE,2,1.699999925,1.704953006,0,1,1.701,NaN,unprotected_diagnostic,V02
V2EVAL11,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL11,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL11,SW_ONLY,1,0.249999925,0.254953006,0,2,0.251,NaN,missed,V02
V2EVAL11,SW_ONLY,2,1.699999925,1.704953006,0,1,1.701,NaN,missed,V02
V2EVAL11,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL11,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL12,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V02
V2EVAL01,BASELINE,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,BASELINE,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,SW_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,SW_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL01,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL02,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,BASELINE,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,BASELINE,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,SW_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,SW_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL03,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL04,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,BASELINE,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,BASELINE,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,SW_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,SW_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL05,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,BASELINE,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,EM_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,EM_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,SW_ONLY,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,SW_ONLY,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,COMBINED,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL06,COMBINED,2,1.700000075,1.704953156,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,BASELINE,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,BASELINE,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,EM_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,EM_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,SW_ONLY,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,SW_ONLY,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,COMBINED,1,0.249999925,0.254953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL07,COMBINED,2,1.699999925,1.704953006,0,0,NaN,NaN,no_detectable_opportunity,V03
V2EVAL08,BASELINE,1,0.250000075,0.254953156,0,0,NaN,NaN,no_detectable_opportunity,V03
