regime,baseline,baselineMeanRMSE_deg,EDMDMeanRMSE_deg,improvementPercent,bootstrap95LowPercent,bootstrap95HighPercent,pairedWins,runCount,comparisonPass
nominal,Nominal physics,0.00605117201047711,0.185958234797778,-2973.09450922576,-3368.9373180976,-2691.7353309001,0,10,0
nominal,Persistent innovation,0.0260212634106966,0.185958234797778,-614.639530997314,-705.029047266292,-545.15435742531,0,10,0
nominal,Linear hybrid,0.184242690998787,0.185958234797778,-0.931132621701614,-2.59648681983595,0.936188548562467,4,10,0
varied,Nominal physics,1.49375881734552,0.299245020365275,79.9669788127479,78.2832065474299,81.7444910459131,10,10,1
varied,Persistent innovation,0.323774924009229,0.299245020365275,7.57622095627591,-1.88769095846546,16.9029468339,6,10,0
varied,Linear hybrid,0.297458358935516,0.299245020365275,-0.600642535699114,-2.18232329183277,0.773822450132722,4,10,0
nonlinear,Nominal physics,2.86968955885708,0.801007103084275,72.0873255919956,70.3653027508261,73.8463683132167,10,10,1
nonlinear,Persistent innovation,1.1548225515872,0.801007103084275,30.6380792457367,29.7191640696053,31.670098224438,10,10,1
nonlinear,Linear hybrid,0.800475771526844,0.801007103084275,-0.0663769693388216,-0.253012974824562,0.138412503555252,5,10,0
stress,Nominal physics,7.07681829302642,2.37866749633266,66.3878963986312,64.361532559027,68.098860020453,10,10,1
stress,Persistent innovation,3.43413909791939,2.37866749633266,30.7346782262315,30.0597450733925,31.5448615629806,10,10,1
stress,Linear hybrid,2.37633607201586,2.37866749633266,-0.0981100419362058,-0.326532195733553,0.134408947249443,5,10,0
